vcpu,memoria_gb,reg_Leste dos EUA,reg_Sudeste do Brasil,preco_real,preco_previsto,regiao
16.0,128.0,True,False,1.152,1.4255148438996539,Leste dos EUA
32.0,128.0,False,True,4.779,3.9873756852716173,Sudeste do Brasil
4.0,32.0,True,False,0.262,0.35319930310589664,Leste dos EUA
64.0,256.0,False,True,9.308,8.220689093444015,Sudeste do Brasil
16.0,64.0,True,False,1.56,1.224896107087339,Leste dos EUA
8.0,64.0,False,True,0.941,1.3083270521791253,Sudeste do Brasil
16.0,128.0,False,True,2.416,2.633932034475836,Sudeste do Brasil
16.0,64.0,True,False,0.768,1.224896107087339,Leste dos EUA
48.0,384.0,True,False,5.232,4.151974423277217,Leste dos EUA
48.0,192.0,False,True,7.169,6.1197382234670314,Sudeste do Brasil
2.0,4.0,False,True,0.184,0.08757889513540068,Sudeste do Brasil
128.0,512.0,True,False,10.465,10.667415468593834,Leste dos EUA
2.0,8.0,False,True,0.207,0.25115798754736457,Sudeste do Brasil
2.0,16.0,True,False,0.115,0.18311594176119286,Leste dos EUA
8.0,32.0,True,False,0.78,0.6215957385009458,Leste dos EUA
16.0,64.0,False,True,2.407,1.9443770663041706,Sudeste do Brasil
32.0,128.0,False,True,4.342,3.9873756852716173,Sudeste do Brasil
32.0,128.0,True,False,2.616,2.434626630912791,Leste dos EUA
48.0,192.0,True,False,2.17,3.6879610522483173,Leste dos EUA
96.0,384.0,True,False,4.608,7.251830546854872,Leste dos EUA
32.0,128.0,True,False,2.096,2.434626630912791,Leste dos EUA
16.0,64.0,False,True,1.873,1.9443770663041706,Sudeste do Brasil
32.0,128.0,False,True,5.216,3.9873756852716173,Sudeste do Brasil
64.0,256.0,True,False,6.24,4.7679643453330005,Leste dos EUA
8.0,32.0,False,True,0.936,1.025730684820541,Sudeste do Brasil
2.0,16.0,True,False,0.236,0.18311594176119286,Leste dos EUA
16.0,128.0,True,False,1.744,1.4255148438996539,Leste dos EUA
32.0,128.0,True,False,3.465,2.434626630912791,Leste dos EUA
96.0,384.0,False,True,11.232,12.066771632625619,Sudeste do Brasil
96.0,768.0,False,True,14.496,15.500341022346031,Sudeste do Brasil
2.0,4.0,False,True,0.183,0.08757889513540068,Sudeste do Brasil
8.0,32.0,True,False,0.363,0.6215957385009458,Leste dos EUA
32.0,128.0,True,False,1.536,2.434626630912791,Leste dos EUA
96.0,768.0,False,True,13.169,15.500341022346031,Sudeste do Brasil
64.0,512.0,True,False,6.56,5.6109942145193905,Leste dos EUA
96.0,384.0,True,False,5.424,7.251830546854872,Leste dos EUA
2.0,16.0,True,False,0.224,0.18311594176119286,Leste dos EUA
96.0,768.0,False,True,17.395,15.500341022346031,Sudeste do Brasil
32.0,64.0,True,False,1.478,1.2754421063372905,Leste dos EUA
32.0,256.0,False,True,4.39,5.215625603428959,Sudeste do Brasil
48.0,192.0,True,False,4.512,3.6879610522483173,Leste dos EUA
64.0,256.0,True,False,6.24,4.7679643453330005,Leste dos EUA
2.0,8.0,False,True,0.291,0.25115798754736457,Sudeste do Brasil
64.0,256.0,False,True,6.364,8.220689093444015,Sudeste do Brasil
48.0,384.0,False,True,9.54,7.771631736064754,Sudeste do Brasil
64.0,256.0,True,False,2.906,4.7679643453330005,Leste dos EUA
8.0,64.0,True,False,0.872,0.7369366816933107,Leste dos EUA
32.0,256.0,False,True,5.426,5.215625603428959,Sudeste do Brasil
8.0,64.0,True,False,0.504,0.7369366816933107,Leste dos EUA
4.0,16.0,False,True,0.582,0.5026364572552121,Sudeste do Brasil
48.0,192.0,True,False,4.92,3.6879610522483173,Leste dos EUA
4.0,16.0,False,True,0.597,0.5026364572552121,Sudeste do Brasil
4.0,8.0,True,False,0.153,0.15506434775639996,Leste dos EUA
64.0,256.0,True,False,2.573,4.7679643453330005,Leste dos EUA
8.0,32.0,True,False,0.384,0.6215957385009458,Leste dos EUA
32.0,64.0,False,True,2.376,2.5906681761922727,Sudeste do Brasil
96.0,384.0,True,False,4.608,7.251830546854872,Leste dos EUA
32.0,256.0,False,True,5.653,5.215625603428959,Sudeste do Brasil
64.0,512.0,True,False,7.59,5.6109942145193905,Leste dos EUA
8.0,32.0,True,False,0.363,0.6215957385009458,Leste dos EUA
4.0,32.0,False,True,0.707,0.6495326229833788,Sudeste do Brasil
16.0,128.0,False,True,2.757,2.633932034475836,Sudeste do Brasil
2.0,8.0,False,True,0.281,0.25115798754736457,Sudeste do Brasil
8.0,32.0,True,False,0.654,0.6215957385009458,Leste dos EUA
32.0,128.0,False,True,3.182,3.9873756852716173,Sudeste do Brasil
32.0,256.0,True,False,3.776,2.896312203738599,Leste dos EUA
96.0,768.0,True,False,10.464,8.652382112247652,Leste dos EUA
16.0,32.0,True,False,0.55,0.6554125421290509,Leste dos EUA
2.0,16.0,False,True,0.327,0.32837288552780697,Sudeste do Brasil
2.0,8.0,True,False,0.113,0.15637214446073341,Leste dos EUA
16.0,32.0,False,True,1.114,1.3358307929203141,Sudeste do Brasil
4.0,32.0,True,False,0.472,0.35319930310589664,Leste dos EUA
64.0,256.0,True,False,3.072,4.7679643453330005,Leste dos EUA
20.0,160.0,True,False,2.18,1.6914058294386494,Leste dos EUA
128.0,512.0,True,False,17.449,10.667415468593834,Leste dos EUA
2.0,8.0,False,True,0.291,0.25115798754736457,Sudeste do Brasil
4.0,32.0,True,False,0.252,0.35319930310589664,Leste dos EUA
4.0,32.0,False,True,0.862,0.6495326229833788,Sudeste do Brasil
16.0,64.0,False,True,2.452,1.9443770663041706,Sudeste do Brasil
8.0,32.0,True,False,0.69,0.6215957385009458,Leste dos EUA
2.0,8.0,True,False,0.132,0.15637214446073341,Leste dos EUA
16.0,128.0,False,True,2.389,2.633932034475836,Sudeste do Brasil
8.0,64.0,True,False,0.576,0.7369366816933107,Leste dos EUA
